Episode,Character,Type of appearance
1,Izuku Midoriya,Direct
1,Tsubasa,Flashback
1,Katsuki Bakugo,Direct
1,Giant Villain,Direct
1,Luminescent Baby,Flashback
1,All Might,Direct
1,Death Arms,Direct
1,Backdraft,Direct
1,Kamui Woods,Direct
1,Mt. Lady,Direct
1,Sludge Villain,Direct
1,Inko Midoriya,Flashback
1,Hisashi Midoriya,Mentioned
2,Izuku Midoriya,Direct
2,All Might,Direct
2,Sludge Villain,Direct
2,Katsuki Bakugo,Direct
2,All For One,Mentioned
2,Toxic Chainsaw,Mentioned
2,Death Arms,Direct
2,Slugger,Direct
2,Mt. Lady,Direct
2,Kamui Woods,Direct
2,Backdraft,Direct
2,Inko Midoriya,Flashback
3,All Might,Direct
3,Izuku Midoriya,Direct
3,Death Arms,Flashback
3,Slugger,Flashback
3,Katsuki Bakugo,Direct
3,Inko Midoriya,Direct
3,Sludge Villain,Mentioned
3,Ochaco Uraraka,Direct
3,Present Mic,Direct
3,Tenya Ida,Direct
4,All Might,Direct
4,Endeavor,Fantasy
4,Best Jeanist,Fantasy
4,Izuku Midoriya,Direct
4,Present Mic,Direct
4,Mezo Shoji,Direct
4,Yuga Aoyama,Direct
4,Ochaco Uraraka,Direct
4,Tenya Ida,Direct
4,Katsuki Bakugo,Direct
4,Nezu,Direct
4,Cementoss,Direct
4,Ectoplasm,Direct
4,Death Arms,Flashback
4,Slugger,Flashback
4,Sludge Villain,Flashback
4,Recovery Girl,Direct
4,Inko Midoriya,Direct
4,Tetsutetsu Tetsutetsu,Name
4,Eijiro Kirishima,Name
4,Ibara Shiozaki,Name
5,Ibara Shiozaki,Name
5,Itsuka Kendo,Name
5,Tetsutetsu Tetsutetsu,Name
5,Yosetsu Awase,Name
5,Shota Aizawa,Direct
5,All Might,Direct
5,Izuku Midoriya,Direct
5,Inko Midoriya,Direct
5,Tenya Ida,Direct
5,Katsuki Bakugo,Direct
5,Eijiro Kirishima,Direct
5,Mina Ashido,Direct
5,Denki Kaminari,Direct
5,Hanta Sero,Direct
5,Yuga Aoyama,Direct
5,Mashirao Ojiro,Direct
5,Kyoka Jiro,Direct
5,Ochaco Uraraka,Direct
5,Shoto Todoroki,Direct
5,Koji Koda,Direct
5,Tsuyu Asui,Direct
5,Toru Hagakure,Direct
5,Fumikage Tokoyami,Direct
5,Rikido Sato,Direct
5,Minoru Mineta,Direct
5,Momo Yaoyorozu,Direct
5,Mezo Shoji,Direct
5,Sludge Villain,Flashback
5,Present Mic,Voice commentary only
6,Izuku Midoriya,Direct
6,Ochaco Uraraka,Direct
6,Yuga Aoyama,Direct
6,Tenya Ida,Direct
6,Katsuki Bakugo,Direct
6,Shota Aizawa,Direct
6,Denki Kaminari,Direct
6,Toru Hagakure,Direct
6,Minoru Mineta,Direct
6,Rikido Sato,Direct
6,Kyoka Jiro,Direct
6,Fumikage Tokoyami,Direct
6,Momo Yaoyorozu,Direct
6,Hanta Sero,Direct
6,Eijiro Kirishima,Direct
6,Mezo Shoji,Direct
6,Mashirao Ojiro,Direct
6,Mina Ashido,Direct
6,Koji Koda,Direct
6,Shoto Todoroki,Direct
6,Tsuyu Asui,Direct
6,All Might,Direct
6,Recovery Girl,Flashback
6,Present Mic,Direct
6,Lunch Rush,Direct
6,Inko Midoriya,Flashback
6,Giant Villain,Flashback
6,Kamui Woods,Flashback
6,Mt. Lady,Flashback
6,Sludge Villain,Flashback
7,Katsuki Bakugo,Direct
7,Tenya Ida,Direct
7,Izuku Midoriya,Direct
7,Ochaco Uraraka,Direct
7,Tsubasa,Flashback
7,All Might,Direct
7,Eijiro Kirishima,Direct
7,Mina Ashido,Direct
7,Shoto Todoroki,Direct
7,Kyoka Jiro,Direct
7,Hanta Sero,Direct
7,Toru Hagakure,Direct
7,Koji Koda,Direct
7,Rikido Sato,Direct
7,Yuga Aoyama,Direct
7,Momo Yaoyorozu,Direct
7,Minoru Mineta,Direct
7,Mezo Shoji,Direct
7,Fumikage Tokoyami,Direct
7,Tsuyu Asui,Direct
7,Denki Kaminari,Direct
7,Mashirao Ojiro,Direct
7,Eraser Head,Flashback
7,Sludge Villain,Flashback
7,Kamui Woods,Drawing
8,Katsuki Bakugo,Direct
8,Izuku Midoriya,Direct
8,Tenya Ida,Direct
8,Ochaco Uraraka,Direct
8,Mezo Shoji,Direct
8,Fumikage Tokoyami,Direct
8,Momo Yaoyorozu,Direct
8,Tsuyu Asui,Direct
8,Denki Kaminari,Direct
8,Mashirao Ojiro,Direct
8,Minoru Mineta,Direct
8,All Might,Direct
8,Shoto Todoroki,Direct
8,Mina Ashido,Direct
8,Hanta Sero,Direct
8,Kyoka Jiro,Direct
8,Eijiro Kirishima,Direct
8,Rikido Sato,Direct
8,Yuga Aoyama,Direct
8,Koji Koda,Direct
8,Toru Hagakure,Direct
8,Present Mic,Voice only
8,Eraser Head,Flashback
8,Recovery Girl,Direct
8,Nezu,Silhouette
8,Naomasa Tsukauchi,Silhouette
8,Inko Midoriya,Mentioned
8,Kurogiri,Direct
8,Nomu,Direct
8,Tomura Shigaraki,Direct
9,Izuku Midoriya,Direct
9,Ochaco Uraraka,Direct
9,Tenya Ida,Direct
9,Katsuki Bakugo,Direct
9,Eraser Head,Direct
9,Tomura Shigaraki,Direct
9,Toru Hagakure,Direct
9,Mezo Shoji,Direct
9,Kyoka Jiro,Direct
9,Hanta Sero,Direct
9,Mashirao Ojiro,Direct
9,Denki Kaminari,Direct
9,Eijiro Kirishima,Direct
9,Yuga Aoyama,Direct
9,Minoru Mineta,Direct
9,Koji Koda,Direct
9,Rikido Sato,Direct
9,Momo Yaoyorozu,Direct
9,Fumikage Tokoyami,Direct
9,Shoto Todoroki,Direct
9,Tsuyu Asui,Direct
9,Mina Ashido,Direct
9,Ingenium,Pictured
9,Present Mic,Direct
9,Midnight,Direct
9,Recovery Girl,Direct
9,Nezu,Direct
9,Thirteen,Direct
9,Mt. Lady,Direct
9,Kamui Woods,Direct
9,Habit Headgear,Direct
9,All Might,Direct
9,Sludge Villain,Flashback
9,Inko Midoriya,Mentioned
9,Giant Villain,Flashback
9,Death Arms,Flashback
9,Backdraft,Flashback
9,Kurogiri,Direct
9,Stitched Giant,Direct
9,Thousand Eyes,Direct
9,Sickle Claw,Direct
9,Nomu,Direct
10,Tomura Shigaraki,Direct
10,Eijiro Kirishima,Direct
10,Ochaco Uraraka,Direct
10,Izuku Midoriya,Direct
10,Tenya Ida,Direct
10,Eraser Head,Direct
10,Hanta Sero,Direct
10,Momo Yaoyorozu,Direct
10,Mezo Shoji,Direct
10,Rikido Sato,Direct
10,Mashirao Ojiro,Direct
10,Denki Kaminari,Direct
10,Nomu,Direct
10,Kurogiri,Direct
10,Thirteen,Direct
10,Fumikage Tokoyami,Direct
10,Kyoka Jiro,Direct
10,Shoto Todoroki,Direct
10,Minoru Mineta,Direct
10,Katsuki Bakugo,Direct
10,Koji Koda,Direct
10,Mina Ashido,Direct
10,Yuga Aoyama,Direct
10,Toru Hagakure,Direct
10,Tsuyu Asui,Direct
10,Present Mic,Flashback
10,All Might,Direct
10,Nezu,Direct
10,Habit Headgear,Screen
11,Izuku Midoriya,Direct
11,Tsuyu Asui,Direct
11,Minoru Mineta,Direct
11,Shoto Todoroki,Direct
11,Denki Kaminari,Direct
11,Kyoka Jiro,Direct
11,Momo Yaoyorozu,Direct
11,Present Mic,Voice only
11,Eraser Head,Direct
11,Tomura Shigaraki,Direct
11,Nomu,Direct
11,Kurogiri,Direct
11,Thirteen,Direct
11,Hanta Sero,Direct
11,Rikido Sato,Direct
11,Mezo Shoji,Direct
11,Tenya Ida,Direct
11,Ochaco Uraraka,Direct
11,Mina Ashido,Direct
11,Eijiro Kirishima,Direct
11,Katsuki Bakugo,Direct
11,Mashirao Ojiro,Direct
11,Koji Koda,Direct
11,Fumikage Tokoyami,Direct
11,All Might,Direct
12,All Might,Direct
12,Ochaco Uraraka,Direct
12,Mina Ashido,Direct
12,Thirteen,Direct
12,Nezu,Mentioned
12,Rikido Sato,Direct
12,Hanta Sero,Direct
12,Mezo Shoji,Direct
12,Tenya Ida,Flashback
12,Minoru Mineta,Direct
12,Tsuyu Asui,Direct
12,Tomura Shigaraki,Direct
12,Nomu,Direct
12,Izuku Midoriya,Direct
12,Eraser Head,Direct
12,Habit Headgear,Screen
12,Denki Kaminari,Flashback
12,All For One,Mentioned
12,Kurogiri,Direct
12,Katsuki Bakugo,Direct
12,Shoto Todoroki,Direct
12,Eijiro Kirishima,Direct
12,Fumikage Tokoyami,Direct
12,Koji Koda,Direct
12,Mashirao Ojiro,Direct
13,Kyoka Jiro,Direct
13,Momo Yaoyorozu,Direct
13,Denki Kaminari,Direct
13,Katsuki Bakugo,Direct
13,Eijiro Kirishima,Direct
13,Izuku Midoriya,Direct
13,Shoto Todoroki,Direct
13,Tomura Shigaraki,Direct
13,Kurogiri,Direct
13,All Might,Direct
13,Snipe,Direct
13,Nezu,Direct
13,Vlad King,Direct
13,Minoru Mineta,Direct
13,Hanta Sero,Direct
13,Thirteen,Direct
13,Rikido Sato,Direct
13,Tsuyu Asui,Direct
13,Mina Ashido,Direct
13,Mezo Shoji,Direct
13,Eraser Head,Direct
13,Ochaco Uraraka,Direct
13,Tenya Ida,Direct
13,Cementoss,Direct
13,Ectoplasm,Direct
13,Hound Dog,Direct
13,Midnight,Direct
13,Power Loader,Direct
13,Present Mic,Direct
13,Mashirao Ojiro,Direct
13,Fumikage Tokoyami,Direct
13,Koji Koda,Direct
13,All For One,Voice only
13,Daruma Ujiko,Voice only
13,Naomasa Tsukauchi,Direct
13,Sansa Tamakawa,Direct
13,Yuga Aoyama,Direct
13,Toru Hagakure,Direct
13,Recovery Girl,Direct
13,Nomu,Direct
13,Stain,Cameo
14,Luminescent Baby,Recap
14,Giant Villain,Recap
14,Death Arms,Recap
14,Backdraft,Recap
14,Kamui Woods,Recap
14,Mt. Lady,Recap
14,All Might,Direct
14,Izuku Midoriya,Direct
14,Inko Midoriya,Direct
14,Eraser Head,Direct
14,Thirteen,Recap & flashback
14,Ochaco Uraraka,Direct
14,Ochaco's Father,Flashback
14,Ochaco's Mother,Flashback
14,Tenya Ida,Direct
14,Katsuki Bakugo,Direct
14,Shoto Todoroki,Direct
14,Sludge Villain,Flashback
14,Gran Torino,Direct
14,Vlad King,Direct
14,Midnight,Direct
14,Snipe,Direct
14,Naomasa Tsukauchi,Direct
14,Tomura Shigaraki,Fantasy & flashback
14,Kurogiri,Fantasy & flashback
14,Nezu,Direct
14,Nomu,Flashback
14,Eijiro Kirishima,Direct
14,Rikido Sato,Direct
14,Mezo Shoji,Direct
14,Mina Ashido,Direct
14,Kyoka Jiro,Direct
14,Momo Yaoyorozu,Direct
14,Hanta Sero,Direct
14,Denki Kaminari,Direct
14,Mashirao Ojiro,Direct
14,Yuga Aoyama,Direct
14,Tsuyu Asui,Direct
14,Toru Hagakure,Direct
14,Koji Koda,Direct
14,Fumikage Tokoyami,Direct
14,Minoru Mineta,Direct
14,Best Jeanist,Pictured
14,Edgeshot,Pictured
14,Endeavor,Pictured
14,Cementoss,Direct
15,All Might,Direct
15,Izuku Midoriya,Direct
15,Katsuki Bakugo,Direct
15,Ochaco Uraraka,Direct
15,Tenya Ida,Direct
15,Shoto Todoroki,Direct
15,Eraser Head,Direct
15,Tsuyu Asui,Direct
15,Eijiro Kirishima,Direct
15,Momo Yaoyorozu,Direct
15,Denki Kaminari,Direct
15,Fumikage Tokoyami,Direct
15,Minoru Mineta,Direct
15,Hitoshi Shinso,Direct
15,Tetsutetsu Tetsutetsu,Direct
15,Ingenium,Mentioned
15,Mezo Shoji,Direct
15,Toru Hagakure,Direct
15,Mashirao Ojiro,Direct
15,Hanta Sero,Direct
15,Mina Ashido,Direct
15,Yuga Aoyama,Direct
15,Koji Koda,Direct
15,Rikido Sato,Direct
15,Kyoka Jiro,Direct
15,Inko Midoriya,Direct
15,Endeavor,Mentioned
15,Mt. Lady,Direct
15,Kamui Woods,Direct
15,Death Arms,Direct
15,Present Mic,Direct
15,Thirteen,Direct
15,Snipe,Direct
15,Power Loader,Direct
15,Ectoplasm,Direct
15,Vlad King,Direct
15,Hound Dog,Direct
15,Itsuka Kendo,Direct
15,Ibara Shiozaki,Direct
15,Neito Monoma,Direct
15,Nirengeki Shoda,Direct
15,Juzo Honenuki,Direct
15,Kojiro Bondo,Direct
15,Yui Kodai,Direct
15,Yosetsu Awase,Direct
15,Pony Tsunotori,Direct
15,Mei Hatsume,Direct
15,Midnight,Direct
15,Nezu,Mentioned
15,Sludge Villain,Mentioned
16,Present Mic,Direct
16,Eraser Head,Direct
16,Izuku Midoriya,Direct
16,Shoto Todoroki,Direct
16,Endeavor,Mentioned
16,Katsuki Bakugo,Direct
16,Ibara Shiozaki,Direct
16,Eijiro Kirishima,Direct
16,Tetsutetsu Tetsutetsu,Direct
16,Denki Kaminari,Direct
16,Hiryu Rin,Direct
16,Hanta Sero,Direct
16,Fumikage Tokoyami,Direct
16,Snipe,Direct
16,Thirteen,Direct
16,All Might,Direct
16,Tenya Ida,Direct
16,Kyoka Jiro,Direct
16,Ochaco Uraraka,Direct
16,Mashirao Ojiro,Direct
16,Momo Yaoyorozu,Direct
16,Rikido Sato,Direct
16,Power Loader,Direct
16,Tsuyu Asui,Direct
16,Mina Ashido,Direct
16,Mei Hatsume,Direct
16,Hitoshi Shinso,Direct
16,Tensei Ida,Mentioned
16,Mezo Shoji,Direct
16,Yuga Aoyama,Direct
16,Inko Midoriya,Direct
16,Kinoko Komori,Direct
16,Shihai Kuroiro,Direct
16,Juzo Honenuki,Direct
16,Sen Kaibara,Direct
16,Setsuna Tokage,Direct
16,Neito Monoma,Direct
16,Togaru Kamakiri,Direct
16,Manga Fukidashi,Direct
16,Yui Kodai,Direct
16,Yosetsu Awase,Direct
16,Kojiro Bondo,Direct
16,Nirengeki Shoda,Direct
16,Minoru Mineta,Direct
16,Itsuka Kendo,Direct
16,Koji Koda,Direct
16,Death Arms,Direct
16,Kamui Woods,Direct
16,Mt. Lady,Direct
16,Tomura Shigaraki,Direct
16,Ectoplasm,Direct
16,Vlad King,Direct
16,Hound Dog,Direct
16,Midnight,Direct
16,Kosei Tsuburaba,Direct
16,Reiko Yanagi,Direct
16,Jurota Shishida,Direct
16,Pony Tsunotori,Direct
16,Toru Hagakure,Direct
17,Midnight,Direct
17,Thirteen,Direct
17,All Might,Direct
17,Present Mic,Direct
17,Snipe,Direct
17,Hound Dog,Direct
17,Vlad King,Direct
17,Ectoplasm,Direct
17,Fumikage Tokoyami,Direct
17,Hanta Sero,Direct
17,Mashirao Ojiro,Direct
17,Tsuyu Asui,Direct
17,Tenya Ida,Direct
17,Denki Kaminari,Direct
17,Izuku Midoriya,Direct
17,Ochaco Uraraka,Direct
17,Eijiro Kirishima,Direct
17,Koji Koda,Direct
17,Mina Ashido,Direct
17,Momo Yaoyorozu,Direct
17,Mezo Shoji,Direct
17,Rikido Sato,Direct
17,Kyoka Jiro,Direct
17,Katsuki Bakugo,Direct
17,Shoto Todoroki,Direct
17,Neito Monoma,Direct
17,Shihai Kuroiro,Direct
17,Togaru Kamakiri,Direct
17,Hiryu Rin,Direct
17,Hitoshi Shinso,Direct
17,Yui Kodai,Direct
17,Kojiro Bondo,Direct
17,Pony Tsunotori,Direct
17,Reiko Yanagi,Direct
17,Itsuka Kendo,Direct
17,Kinoko Komori,Direct
17,Yosetsu Awase,Direct
17,Nirengeki Shoda,Direct
17,Yuga Aoyama,Direct
17,Death Arms,Direct
17,Kamui Woods,Direct
17,Mt. Lady,Direct
17,Giant Villain,Flashback
17,Backdraft,Flashback
17,Slugger,Flashback
17,Sludge Villain,Flashback
17,Kosei Tsuburaba,Direct
17,Sen Kaibara,Direct
17,Manga Fukidashi,Direct
17,Jurota Shishida,Direct
17,Toru Hagakure,Direct
17,Minoru Mineta,Direct
17,Juzo Honenuki,Direct
17,Setsuna Tokage,Direct
17,Ibara Shiozaki,Direct
17,Tetsutetsu Tetsutetsu,Direct
17,Mei Hatsume,Direct
17,Airjet,Fantasy
17,Eraser Head,Direct
17,Endeavor,Direct
17,Power Loader,Direct
18,Minoru Mineta,Direct
18,Tsuyu Asui,Direct
18,Mezo Shoji,Direct
18,Denki Kaminari,Direct
18,Shoto Todoroki,Direct
18,Momo Yaoyorozu,Direct
18,Tenya Ida,Direct
18,Fumikage Tokoyami,Direct
18,Izuku Midoriya,Direct
18,Mei Hatsume,Direct
18,Ochaco Uraraka,Direct
18,Reiko Yanagi,Direct
18,Setsuna Tokage,Direct
18,Itsuka Kendo,Direct
18,Kinoko Komori,Direct
18,Kyoka Jiro,Direct
18,Rikido Sato,Direct
18,Koji Koda,Direct
18,Toru Hagakure,Direct
18,Jurota Shishida,Direct
18,Hiryu Rin,Direct
18,Present Mic,Direct
18,Eraser Head,Direct
18,Yuga Aoyama,Direct
18,Katsuki Bakugo,Direct
18,Eijiro Kirishima,Direct
18,Mashirao Ojiro,Direct
18,Kojiro Bondo,Direct
18,Yui Kodai,Direct
18,Manga Fukidashi,Direct
18,Hanta Sero,Direct
18,Mina Ashido,Direct
18,Neito Monoma,Direct
18,Kosei Tsuburaba,Direct
18,Sen Kaibara,Direct
18,Sludge Villain,Flashback
18,Shihai Kuroiro,Direct
18,All Might,Direct
18,Endeavor,Direct
18,Pony Tsunotori,Direct
18,Togaru Kamakiri,Direct
18,Hitoshi Shinso,Direct
18,Nirengeki Shoda,Direct
18,Tetsutetsu Tetsutetsu,Direct
18,Juzo Honenuki,Direct
18,Yosetsu Awase,Direct
18,Ibara Shiozaki,Direct
18,Inko Midoriya,Direct
19,Mezo Shoji,Direct
19,Minoru Mineta,Direct
19,Ochaco Uraraka,Direct
19,Denki Kaminari,Direct
19,Tenya Ida,Direct
19,Koji Koda,Direct
19,Rikido Sato,Direct
19,Toru Hagakure,Direct
19,Momo Yaoyorozu,Direct
19,Kyoka Jiro,Direct
19,Manga Fukidashi,Direct
19,Kojiro Bondo,Direct
19,Yui Kodai,Direct
19,Tsuyu Asui,Direct
19,Reiko Yanagi,Direct
19,Itsuka Kendo,Direct
19,Setsuna Tokage,Direct
19,Mina Ashido,Direct
19,Kinoko Komori,Direct
19,Shoto Todoroki,Direct
19,Izuku Midoriya,Direct
19,All Might,Direct
19,Nomu,Flashback
19,Endeavor,Direct
19,Fumikage Tokoyami,Direct
19,Hanta Sero,Direct
19,Eijiro Kirishima,Direct
19,Rei Todoroki,Flashback
19,Katsuki Bakugo,Direct
19,Inko Midoriya,Flashback
19,Eraser Head,Direct
19,Kurogiri,Flashback
19,Mei Hatsume,Direct
19,Present Mic,Direct
19,Tetsutetsu Tetsutetsu,Direct
19,Neito Monoma,Direct
19,Mashirao Ojiro,Direct
19,Nirengeki Shoda,Direct
19,Hitoshi Shinso,Direct
19,Yuga Aoyama,Direct
19,Midnight,Direct
19,Juzo Honenuki,Direct
19,Yosetsu Awase,Direct
19,Sen Kaibara,Direct
19,Shihai Kuroiro,Direct
19,Ibara Shiozaki,Direct
19,Kosei Tsuburaba,Direct
19,Pony Tsunotori,Direct
19,Togaru Kamakiri,Direct
19,Cementoss,Direct
19,Recovery Girl,Mentioned
20,Izuku Midoriya,Direct
20,Hitoshi Shinso,Direct
20,Midnight,Direct
20,Present Mic,Direct
20,Katsuki Bakugo,Direct
20,Denki Kaminari,Direct
20,Eijiro Kirishima,Direct
20,Fumikage Tokoyami,Direct
20,Tenya Ida,Direct
20,Ochaco Uraraka,Direct
20,Yuga Aoyama,Direct
20,Rikido Sato,Direct
20,Mezo Shoji,Direct
20,Mashirao Ojiro,Direct
20,Minoru Mineta,Direct
20,Momo Yaoyorozu,Direct
20,Koji Koda,Direct
20,Kyoka Jiro,Direct
20,Mina Ashido,Direct
20,Toru Hagakure,Direct
20,Tsuyu Asui,Direct
20,All Might,Direct
20,Ms. Joke,Direct
20,Eraser Head,Direct
20,Tetsutetsu Tetsutetsu,Flashback
20,Nirengeki Shoda,Flashback
20,Ibara Shiozaki,Flashback
20,Juzo Honenuki,Flashback
20,Yosetsu Awase,Flashback
20,Past One For All users,"Shadows)
First user
Second user
Third user
Fourth user
Fifth user
Sixth user
Seventh use"
20,Cementoss,Direct
20,Recovery Girl,Direct
20,Shoto Todoroki,Direct
20,Endeavor,Direct
20,Rei Todoroki,Mentioned
20,Hanta Sero,Direct
20,Death Arms,Direct
20,Kamui Woods,Direct
21,Cementoss,Direct
21,Midnight,Direct
21,Ibara Shiozaki,Direct
21,Denki Kaminari,Direct
21,Present Mic,Direct
21,Eraser Head,Direct
21,Tetsutetsu Tetsutetsu,Direct
21,Juzo Honenuki,Direct
21,Manga Fukidashi,Direct
21,Nirengeki Shoda,Direct
21,Yosetsu Awase,Direct
21,Tsuyu Asui,Direct
21,Kyoka Jiro,Direct
21,Mashirao Ojiro,Direct
21,Toru Hagakure,Direct
21,Koji Koda,Direct
21,Mezo Shoji,Direct
21,Neito Monoma,Direct
21,Momo Yaoyorozu,Direct
21,Mina Ashido,Direct
21,Kosei Tsuburaba,Direct
21,Shihai Kuroiro,Direct
21,Setsuna Tokage,Direct
21,Itsuka Kendo,Direct
21,Minoru Mineta,Direct
21,Rikido Sato,Direct
21,Kamui Woods,Direct
21,Mt. Lady,Direct
21,Ochaco Uraraka,Direct
21,Izuku Midoriya,Direct
21,Fumikage Tokoyami,Direct
21,Eijiro Kirishima,Direct
21,Katsuki Bakugo,Direct
21,Yuga Aoyama,Direct
21,Tenya Ida,Direct
21,Mei Hatsume,Direct
21,Hanta Sero,Direct
21,Reiko Yanagi,Direct
21,Kinoko Komori,Direct
21,Kojiro Bondo,Direct
21,Jurota Shishida,Flashback
21,Hiryu Rin,Flashback
21,Shoto Todoroki,Direct
22,Katsuki Bakugo,Direct
22,Ochaco Uraraka,Direct
22,Fumikage Tokoyami,Direct
22,Izuku Midoriya,Direct
22,Tenya Ida,Direct
22,Momo Yaoyorozu,Direct
22,Minoru Mineta,Direct
22,Mezo Shoji,Direct
22,Rikido Sato,Direct
22,Koji Koda,Direct
22,Kyoka Jiro,Direct
22,Tsuyu Asui,Direct
22,Present Mic,Direct
22,Mashirao Ojiro,Direct
22,Eraser Head,Direct
22,Denki Kaminari,Direct
22,Hanta Sero,Direct
22,Neito Monoma,Direct
22,Kosei Tsuburaba,Direct
22,Shihai Kuroiro,Direct
22,Itsuka Kendo,Direct
22,Setsuna Tokage,Direct
22,Reiko Yanagi,Direct
22,Cementoss,Direct
22,Kinoko Komori,Direct
22,Sen Kaibara,Direct
22,Ibara Shiozaki,Direct
22,Shoto Todoroki,Direct
22,Ochaco's Mother,Flashback
22,Ochaco's Father,Flashback
22,Midnight,Direct
22,Recovery Girl,Mentioned
22,Eijiro Kirishima,Direct
22,Tetsutetsu Tetsutetsu,Direct
22,Endeavor,Direct
22,All Might,Direct
22,Thirteen,Direct
22,Hound Dog,Direct
22,Vlad King,Direct
22,Sensei,Direct
22,Tomura Shigaraki,Direct
22,Inko Midoriya,Direct
22,Mt. Lady,Direct
22,Kamui Woods,Direct
22,Nomu,Flashback
22,Kurogiri,Flashback
23,Shoto Todoroki,Direct
23,Tenya Ida,Direct
23,Ochaco Uraraka,Direct
23,Fumikage Tokoyami,Direct
23,Hanta Sero,Direct
23,Denki Kaminari,Direct
23,Katsuki Bakugo,Direct
23,Rei Todoroki,Flashback
23,All Might,Direct
23,Thirteen,Direct
23,Snipe,Direct
23,Power Loader,Direct
23,Hound Dog,Direct
23,Endeavor,Direct
23,Izuku Midoriya,Direct
23,Present Mic,Direct
23,Eraser Head,Direct
23,Eijiro Kirishima,Direct
23,Rikido Sato,Direct
23,Mashirao Ojiro,Direct
23,Momo Yaoyorozu,Direct
23,Mina Ashido,Direct
23,Hitoshi Shinso,Direct
23,Cementoss,Direct
23,Recovery Girl,Mentioned
23,Midnight,Direct
23,Fuyumi Todoroki,Flashback
23,Natsuo Todoroki,Flashback
23,Toya Todoroki,Flashback
23,Toru Hagakure,Direct
23,Koji Koda,Direct
23,Minoru Mineta,Direct
23,Mezo Shoji,Direct
23,Yuga Aoyama,Direct
23,Kyoka Jiro,Direct
23,Tsuyu Asui,Direct
23,Death Arms,Direct
23,Kamui Woods,Direct
24,Katsuki Bakugo,Direct
24,Shoto Todoroki,Direct
24,Endeavor,Direct
24,Izuku Midoriya,Direct
24,Recovery Girl,Direct
24,All Might,Direct
24,Minoru Mineta,Direct
24,Tsuyu Asui,Direct
24,Ochaco Uraraka,Direct
24,Tenya Ida,Direct
24,Hanta Sero,Direct
24,Ibara Shiozaki,Direct
24,Midnight,Direct
24,Fumikage Tokoyami,Direct
24,Mina Ashido,Direct
24,Hitoshi Shinso,Flashback
24,Nana Shimura,Flashback
24,Ingenium,Direct
24,Stain,Direct
24,Eijiro Kirishima,Direct
24,Tetsutetsu Tetsutetsu,Direct
24,Juzo Honenuki,Direct
24,Yosetsu Awase,Direct
24,Nirengeki Shoda,Direct
24,Denki Kaminari,Direct
24,Present Mic,Direct
24,Eraser Head,Direct
24,Momo Yaoyorozu,Direct
24,Toru Hagakure,Direct
24,Kyoka Jiro,Direct
24,Mezo Shoji,Direct
24,Koji Koda,Direct
24,Neito Monoma,Direct
24,Sen Kaibara,Direct
24,Itsuka Kendo,Direct
24,Pony Tsunotori,Direct
24,Kurogiri,Direct
24,Tomura Shigaraki,Direct
25,Shoto Todoroki,Direct
25,Rei Todoroki,Direct
25,Izuku Midoriya,Direct
25,Katsuki Bakugo,Direct
25,Midnight,Direct
25,Mt. Lady,Pictured
25,Fumikage Tokoyami,Direct
25,Ochaco Uraraka,Direct
25,Tsuyu Asui,Direct
25,Minoru Mineta,Direct
25,Hanta Sero,Direct
25,Denki Kaminari,Direct
25,Eijiro Kirishima,Direct
25,Yuga Aoyama,Direct
25,Rikido Sato,Direct
25,Mezo Shoji,Direct
25,Mashirao Ojiro,Direct
25,Momo Yaoyorozu,Direct
25,Kyoka Jiro,Direct
25,Mina Ashido,Direct
25,Koji Koda,Direct
25,Toru Hagakure,Direct
25,Eraser Head,Direct
25,Present Mic,Direct
25,All Might,Direct
25,Endeavor,Direct
25,Tenya Ida,Direct
25,Hitoshi Shinso,Direct
25,Tetsutetsu Tetsutetsu,Direct
25,Yosetsu Awase,Direct
25,Nirengeki Shoda,Direct
25,Sen Kaibara,Direct
25,Neito Monoma,Direct
25,Juzo Honenuki,Direct
25,Kojiro Bondo,Direct
25,Togaru Kamakiri,Direct
25,Itsuka Kendo,Direct
25,Kinoko Komori,Direct
25,Hiryu Rin,Direct
25,Ibara Shiozaki,Direct
25,Setsuna Tokage,Direct
25,Pony Tsunotori,Direct
25,Tomura Shigaraki,Direct
25,Tenya's Mother,Direct
25,Tensei Ida,Direct
25,Stain,Direct
25,Fuyumi Todoroki,Direct
25,Ochaco's Father,Direct
25,Ochaco's Mother,Direct
25,Inko Midoriya,Direct
25,Mitsuki Bakugo,voice only
26,Tenya Ida,Direct
26,Shoto Todoroki,Direct
26,Denki Kaminari,Direct
26,Momo Yaoyorozu,Direct
26,Izuku Midoriya,Direct
26,Fumikage Tokoyami,Direct
26,Mei Hatsume,Screen
26,Ochaco Uraraka,Direct
26,Katsuki Bakugo,Direct
26,Yosetsu Awase,Direct
26,Mina Ashido,Direct
26,Yuga Aoyama,Direct
26,Eijiro Kirishima,Direct
26,Toru Hagakure,Direct
26,Mashirao Ojiro,Direct
26,Hanta Sero,Direct
26,Tsuyu Asui,Direct
26,Minoru Mineta,Direct
26,Kyoka Jiro,Direct
26,Eraser Head,Direct
26,Mezo Shoji,Direct
26,Koji Koda,Direct
26,Rikido Sato,Direct
26,Recovery Girl,Mentioned
26,Endeavor,Mentioned
26,Tomura Shigaraki,Flashback
26,Kurogiri,Flashback
26,Nomu,Flashback
